value,Koppen_Class,Category
PA_Bucks,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Butler,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Cambria,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Carbon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Centre,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Chester,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Clinton,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Columbia,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Crawford,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Cumberland,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Dauphin,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Erie,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Fayette,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Franklin,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Huntingdon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Indiana,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Juniata,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Lackawanna,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Lancaster,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Lawrence,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Lebanon,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Lehigh,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Luzerne,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Lycoming,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Mercer,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Montgomery,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Northampton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Northumberland,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Perry,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Potter,"Dfb  Cold, no dry season, warm summer",Speciality Crop
PA_Schuylkill,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Snyder,"Dfa  Cold, no dry season, hot summer",Speciality Crop
PA_Somerset,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Susquehanna,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Tioga,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Washington,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
PA_Westmoreland,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_Wyoming,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
PA_York,"Dfa  Cold, no dry season, hot summer",Speciality Crop
RI_Newport,"Dfa  Cold, no dry season, hot summer",Speciality Crop
RI_Providence,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
SC_Aiken,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Allendale,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Anderson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Bamberg,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Barnwell,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Beaufort,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Charleston,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Chester,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Clarendon,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Colleton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Florence,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Greenville,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Hampton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Lexington,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Orangeburg,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Richland,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
SC_Saluda,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Spartanburg,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Sumter,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_Williamsburg,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
SC_York,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Bledsoe,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TN_Cocke,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TN_Cumberland,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TN_Davidson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Dyer,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TN_Fentress,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Grainger,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Greene,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TN_Lincoln,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Maury,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Rhea,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Robertson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Tipton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TN_Washington,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Anderson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Angelina,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Atascosa,"BSh  Arid, steppe, hot",Speciality Crop
TX_Austin,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Bastrop,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Bell,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Bexar,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Bosque,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Bowie,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Brazoria,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Brazos,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Brown,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Burleson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Burnet,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Caldwell,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Cameron,"BSh  Arid, steppe, hot",Speciality Crop
TX_Cherokee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Clay,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Collin,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Colorado,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Comanche,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Cooke,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Coryell,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Dallam,"BSk  Arid, steppe, cold",Non Speciality Crop
TX_Dallas,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Eastland,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_El Paso,"BWk  Arid, desert, cold",Speciality Crop
TX_Ellis,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Erath,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Falls,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Fannin,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Fayette,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Fort Bend,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Frio,"BSh  Arid, steppe, hot",Speciality Crop
TX_Gaines,"BSk  Arid, steppe, cold",Speciality Crop
TX_Gillespie,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Glasscock,"BSk  Arid, steppe, cold",Speciality Crop
TX_Gonzales,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Grayson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Grimes,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Guadalupe,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Hale,"BSk  Arid, steppe, cold",Speciality Crop
TX_Hamilton,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Hardin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Harris,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Hartley,"BSk  Arid, steppe, cold",Speciality Crop
TX_Henderson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Hidalgo,"BSh  Arid, steppe, hot",Speciality Crop
TX_Hood,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Houston,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Hudspeth,"BWk  Arid, desert, cold",Speciality Crop
TX_Hunt,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Jefferson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Johnson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Kaufman,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Kimble,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Lamar,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Lamb,"BSk  Arid, steppe, cold",Speciality Crop
TX_Lampasas,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Lavaca,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Lee,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Limestone,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Llano,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Lubbock,"BSk  Arid, steppe, cold",Speciality Crop
TX_Madison,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Matagorda,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Maverick,"BSh  Arid, steppe, hot",Speciality Crop
TX_Medina,"BSh  Arid, steppe, hot",Speciality Crop
TX_Menard,"BSh  Arid, steppe, hot",Speciality Crop
TX_Midland,"BSh  Arid, steppe, hot",Speciality Crop
TX_Milam,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Montague,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Navarro,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Palo Pinto,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Parker,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Parmer,"BSk  Arid, steppe, cold",Non Speciality Crop
TX_Pecos,"BSh  Arid, steppe, hot",Speciality Crop
TX_Red River,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Reeves,"BWh  Arid, desert, hot",Non Speciality Crop
TX_Robertson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_San Saba,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Smith,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Somervell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Swisher,"BSk  Arid, steppe, cold",Non Speciality Crop
TX_Terry,"BSk  Arid, steppe, cold",Speciality Crop
TX_Travis,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Upton,"BSh  Arid, steppe, hot",Non Speciality Crop
TX_Uvalde,"BSh  Arid, steppe, hot",Speciality Crop
TX_Van Zandt,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Victoria,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Walker,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
TX_Waller,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Washington,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Wharton,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Willacy,"BSh  Arid, steppe, hot",Speciality Crop
TX_Williamson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Wilson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Wise,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Wood,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
TX_Yoakum,"BSk  Arid, steppe, cold",Speciality Crop
TX_Zavala,"BSh  Arid, steppe, hot",Speciality Crop
UT_Box Elder,"BSk  Arid, steppe, cold",Speciality Crop
UT_Cache,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
UT_Davis,"BSk  Arid, steppe, cold",Speciality Crop
UT_Salt Lake,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
UT_Utah,"BSk  Arid, steppe, cold",Speciality Crop
UT_Washington,"BSk  Arid, steppe, cold",Non Speciality Crop
UT_Weber,"Dfb  Cold, no dry season, warm summer",Speciality Crop
VT_Addison,"Dfb  Cold, no dry season, warm summer",Speciality Crop
VT_Bennington,"Dfb  Cold, no dry season, warm summer",Speciality Crop
VT_Chittenden,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Franklin,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Orange,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Rutland,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Washington,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Windham,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VT_Windsor,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VA_Accomack,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Albemarle,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Augusta,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
VA_Botetourt,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Caroline,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Carroll,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Fauquier,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Frederick,"Dfa  Cold, no dry season, hot summer",Speciality Crop
VA_Grayson,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
VA_Halifax,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Hanover,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Nelson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
VA_Orange,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Patrick,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Rockingham,"Dfb  Cold, no dry season, warm summer",Speciality Crop
VA_Southampton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
VA_Westmoreland,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
WA_Adams,"BWk  Arid, desert, cold",Speciality Crop
WA_Benton,"BWk  Arid, desert, cold",Speciality Crop
WA_Chelan,"Dsb  Cold, dry summer, warm summer",Speciality Crop
WA_Clallam,"Cfb  Temperate, no dry season, warm summer",Non Speciality Crop
WA_Clark,"Csb  Temperate, dry summer, warm summer",Speciality Crop
WA_Cowlitz,"Csb  Temperate, dry summer, warm summer",Speciality Crop
WA_Franklin,"BWk  Arid, desert, cold",Speciality Crop
WA_Grant,"BWk  Arid, desert, cold",Speciality Crop
WA_Grays Harbor,"Cfb  Temperate, no dry season, warm summer",Speciality Crop
WA_King,"Cfb  Temperate, no dry season, warm summer",Speciality Crop
WA_Kittitas,"Dsb  Cold, dry summer, warm summer",Speciality Crop
WA_Klickitat,"Dsb  Cold, dry summer, warm summer",Non Speciality Crop
WA_Lewis,"Csb  Temperate, dry summer, warm summer",Speciality Crop
WA_Lincoln,"BSk  Arid, steppe, cold",Speciality Crop
WA_Okanogan,"BSk  Arid, steppe, cold",Speciality Crop
WA_Pacific,"Csb  Temperate, dry summer, warm summer",Speciality Crop
WA_Pierce,"Csb  Temperate, dry summer, warm summer",Speciality Crop
WA_Skagit,"Cfb  Temperate, no dry season, warm summer",Speciality Crop
WA_Snohomish,"Cfb  Temperate, no dry season, warm summer",Speciality Crop
WA_Spokane,"Dsb  Cold, dry summer, warm summer",Speciality Crop
WA_Stevens,"Dsb  Cold, dry summer, warm summer",Non Speciality Crop
WA_Thurston,"Csb  Temperate, dry summer, warm summer",Non Speciality Crop
WA_Walla Walla,"BSk  Arid, steppe, cold",Speciality Crop
WA_Whatcom,"Dfc  Cold, no dry season, cold summer",Speciality Crop
WA_Yakima,"Dsb  Cold, dry summer, warm summer",Speciality Crop
WV_Berkeley,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WV_Hampshire,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Adams,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Barron,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Brown,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Calumet,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Clark,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Columbia,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Crawford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
WI_Dane,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Dodge,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Door,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Dunn,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Forest,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Green Lake,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Green,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
WI_Jackson,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Jefferson,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Juneau,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Kenosha,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Kewaunee,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Langlade,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Manitowoc,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Marathon,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Marinette,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Marquette,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Monroe,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Oconto,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Oneida,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Outagamie,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Ozaukee,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Pierce,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Polk,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Portage,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Racine,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Richland,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
WI_Rock,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Sauk,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Sawyer,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Shawano,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Sheboygan,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Trempealeau,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Vernon,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Vilas,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Walworth,"Dfa  Cold, no dry season, hot summer",Speciality Crop
WI_Washington,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Waukesha,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Waupaca,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Waushara,"Dfb  Cold, no dry season, warm summer",Speciality Crop
WI_Winnebago,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
WI_Wood,"Dfb  Cold, no dry season, warm summer",Speciality Crop
AL_Bibb,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Butler,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Calhoun,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Chambers,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Cherokee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Choctaw,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Clarke,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Clay,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Cleburne,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Colbert,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Conecuh,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Coosa,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Crenshaw,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Elmore,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Escambia,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Fayette,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Franklin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Greene,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Hale,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Jefferson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Lamar,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Lauderdale,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Lawrence,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Lee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Limestone,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Lowndes,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Madison,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Marengo,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Marion,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Marshall,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Monroe,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Montgomery,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Morgan,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Perry,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Pickens,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Randolph,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Russell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Shelby,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Sumter,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Talladega,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Tallapoosa,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Tuscaloosa,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Walker,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Washington,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Wilcox,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Winston,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AZ_Coconino,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_Gila,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_Greenlee,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_La Paz,"BWh  Arid, desert, hot",Non Speciality Crop
AZ_Mohave,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_Pima,"BWh  Arid, desert, hot",Non Speciality Crop
AZ_Santa Cruz,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_Yavapai,"BSk  Arid, steppe, cold",Non Speciality Crop
AR_Arkansas,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Baxter,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Boone,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Calhoun,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Carroll,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Clark,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Cleburne,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Cleveland,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Columbia,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Crawford,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Crittenden,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Dallas,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Desha,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Drew,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Faulkner,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Fulton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Garland,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Grant,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Greene,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Hot Spring,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Howard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Independence,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Izard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Jackson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Johnson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Lafayette,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Lawrence,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Lincoln,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Logan,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Madison,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Marion,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Monroe,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Montgomery,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Nevada,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Newton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Ouachita,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
